77475 0.0010544948
77764.472 0.0048715724
78053.945 0.0087397294
78343.417 0.013114745
78632.889 0.019230615
78922.362 0.028388975
79211.834 0.041177452
79501.307 0.058882579
79790.779 0.083911108
80080.251 0.11664508
80369.724 0.15570895
80659.196 0.20391372
80948.668 0.26865692
81238.141 0.35340706
81527.613 0.44820342
81817.085 0.52453502
82106.558 0.54993325
82396.03 0.51991513
82685.503 0.46226099
82974.975 0.40807891
83264.447 0.3751217
83553.92 0.37155695
83843.392 0.40123671
84132.864 0.46376378
84422.337 0.54929295
84711.809 0.64018222
85001.281 0.72221431
85290.754 0.78815327
85580.226 0.83376249
85869.698 0.85806185
86159.171 0.86428703
86448.643 0.85802897
86738.116 0.84454523
87027.588 0.82684998
87317.06 0.80711871
87606.533 0.78815923
87896.005 0.77229376
88185.477 0.76198655
88474.95 0.76075358
88764.422 0.77014742
89053.894 0.78780549
89343.367 0.80947551
89632.839 0.83094121
89922.312 0.84913714
90211.784 0.86226039
90501.256 0.86890413
90790.729 0.86932102
91080.201 0.86650989
91369.673 0.8638837
91659.146 0.86368792
91948.618 0.86755334
92238.09 0.87550709
92527.563 0.88493112
92817.035 0.89229277
93106.508 0.89550516
93395.98 0.89428135
93685.452 0.88875766
93974.925 0.87937361
94264.397 0.86805433
94553.869 0.85727582
94843.342 0.84889021
95132.814 0.84478244
95422.286 0.84592459
95711.759 0.85080802
96001.231 0.85697194
96290.704 0.8628094
96580.176 0.86675004
96869.648 0.86685688
97159.121 0.86266004
97448.593 0.85581004
97738.065 0.84837913
98027.538 0.84241896
98317.01 0.84065022
98606.482 0.84473057
98895.955 0.85337181
99185.427 0.86417559
99474.899 0.8759661
99764.372 0.88810818
100053.84 0.89920566
100343.32 0.90743364
100632.79 0.91107299
100922.26 0.90876292
101211.73 0.90050057
101501.21 0.88778502
101790.68 0.87268777
102080.15 0.85783364
102369.62 0.84606183
102659.1 0.83941995
102948.57 0.83886255
103238.04 0.84374704
103527.51 0.85172131
103816.98 0.86031585
104106.46 0.86808993
104395.93 0.87430076
104685.4 0.87871794
104974.87 0.88139289
105264.35 0.88216325
105553.82 0.88108044
105843.29 0.87887937
106132.76 0.87650102
106422.24 0.87485905
106711.71 0.87482881
107001.18 0.87668147
107290.65 0.88020501
107580.13 0.88531726
107869.6 0.89100553
108159.07 0.89505128
108448.54 0.89646247
108738.02 0.89540066
109027.49 0.89114475
109316.96 0.88342714
109606.43 0.87340304
109895.9 0.86173645
110185.38 0.84834817
110474.85 0.83409815
110764.32 0.82126565
111053.79 0.81248168
111343.27 0.80952119
111632.74 0.81252332
111922.21 0.8197975
112211.68 0.82907038
112501.16 0.83926331
112790.63 0.85046602
113080.1 0.86241328
113369.57 0.87381753
113659.05 0.88308092
113948.52 0.88856868
114237.99 0.88871546
114527.46 0.88357376
114816.93 0.87527119
115106.41 0.86583088
115395.88 0.85590599
115685.35 0.84577792
115974.82 0.83631506
116264.3 0.82881094
116553.77 0.82458064
116843.24 0.82446877
117132.71 0.82764629
117422.19 0.83176244
117711.66 0.83525159
118001.13 0.83817422
118290.6 0.84095582
118580.08 0.84360894
118869.55 0.84551721
119159.02 0.84546266
119448.49 0.84268741
119737.96 0.83771902
120027.44 0.83143396
120316.91 0.82429557
120606.38 0.81732091
120895.85 0.81245978
121185.33 0.81097579
121474.8 0.81273795
121764.27 0.81760906
122053.74 0.82555889
122343.22 0.83499906
122632.69 0.84270224
122922.16 0.84667641
123211.63 0.84848359
123501.11 0.85017218
123790.58 0.85039303
124080.05 0.84686572
124369.52 0.83946596
124658.99 0.82879067
124948.47 0.81533728
125237.94 0.80032802
125527.41 0.785213
125816.88 0.77140535
126106.36 0.76085154
126395.83 0.75486348
126685.3 0.75259662
126974.77 0.75245907
127264.25 0.75394655
127553.72 0.75610345
127843.19 0.7551964
128132.66 0.74568202
128422.14 0.72255987
128711.61 0.68335374
129001.08 0.63063676
129290.55 0.57093052
129580.03 0.5094627
129869.5 0.44828065
130158.97 0.38807112
130448.44 0.32898351
130737.91 0.27094796
131027.39 0.21557332
131316.86 0.1671913
131606.33 0.12920973
131895.8 0.10052524
132185.28 0.078355083
132474.75 0.061390828
132764.22 0.048383253
133053.69 0.037775033
133343.17 0.029266434
133632.64 0.023150564
133922.11 0.018819402
134211.58 0.015195232
134501.06 0.011693646
134790.53 0.0081964161
135080 0.004699186
